,country,fully_vaxed,%_fully_vaxed,covid_cases,gdp_rank,gdp,region,population,covid%
168,Saint Vincent and the Grenadines,22399.0,20.13,5469.0,180.0,903000000.0,North America,111271.73373075013,4.914994865842225
169,Samoa,86246.0,43.09,3.0,179.0,960000000.0,Oceania,200153.16778834994,0.0014988521206780606
170,San Marino,22378.0,65.8,5908.0,173.0,1672000000.0,Europe,34009.11854103344,17.371811600679237
171,Sao Tome and Principe,31995.0,14.32,3731.0,183.0,527000000.0,Africa,223428.77094972067,1.6698834192842633
172,Saudi Arabia,22432544.0,63.48,549618.0,19.0,790062000000.0,Asia,35337971.01449276,1.555318497982217
174,Senegal,922233.0,5.36,73975.0,105.0,28062000000.0,Africa,17205839.552238807,0.4299412404457441
175,Serbia,3111853.0,45.29,1244169.0,86.0,56886000000.0,Europe,6870949.436961803,18.1076721843866
176,Seychelles,77809.0,78.67,23197.0,172.0,1739000000.0,Africa,98905.55484937078,23.45368774820394
177,Sierra Leone,302686.0,3.72,6400.0,156.0,4221000000.0,Africa,8136720.4301075265,0.0786557686843792
178,Singapore,5012181.0,91.91,258785.0,36.0,391875000000.0,Asia,5453357.6324665435,4.745425065455537
180,Slovakia,2344592.0,42.94,1119111.0,60.0,117399000000.0,Europe,5460158.360503027,20.495944002197398
181,Slovenia,1148063.0,55.23,411301.0,83.0,58213000000.0,Europe,2078694.5500633712,19.786504947899203
182,Solomon Islands,43040.0,6.11,20.0,175.0,1607000000.0,Oceania,704418.9852700491,0.0028392193308550188
183,Somalia,564612.0,3.45,23016.0,144.0,8341000000.0,Africa,16365565.217391303,0.14063675586066185
184,South Africa,14384276.0,23.96,2952500.0,38.0,386727000000.0,Africa,60034540.901502505,4.9180021295475695
186,South Sudan,133315.0,1.17,12717.0,164.0,2796000000.0,Africa,11394444.444444446,0.11160702096538273
187,Spain,37586582.0,80.41,5121100.0,13.0,1497080000000.0,Europe,46743666.21067032,10.95570890165006
